mese,anno,codice_ente,descrizione_ente,provincia_sede,regione_sede,attivazioni,cessazioni,RATA,aggregation_time,qualifica,3descrizione
9,2023,14,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,CZ,17,0,5,202309,2025-06-18,Unknown,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
10,2024,15,Unknown,RM,11,4,5,202411,2025-06-18,Funzionario,AVVOCATURA GENERALE DELLO STATO
12,2023,22,AGENZIA DELLE ENTRATE,CE,14,0,2,202312,2025-06-18,Unknown,AGENZIA DELLE ENTRATE
10,2023,19,MINISTERO UNIVERSITA' E RICERCA,LO,3,94,1,202310,2025-06-18,Dirigente,MINISTERO UNIVERSITA' E RICERCA
6,2023,954,ISPETTORATO NAZIONALE DEL LAVORO,MI,3,2,0,202306,2025-06-18,Funzionario,ISPETTORATO NAZIONALE DEL LAVORO
7,2024,19,MINISTERO UNIVERSITA' E RICERCA,BL,4,33,14,202407,2025-06-18,Dirigente,MINISTERO UNIVERSITA' E RICERCA
7,2024,14,MINISTERO DELLA CULTURA,AL,1,4,0,202407,2025-06-18,Unknown,MINISTERO DELLA CULTURA
6,2024,10,MINISTERO DELLA SALUTE,RM,11,15,2,202406,2025-06-18,Dirigente,MINISTERO DELLA SALUTE
8,2024,19,MINISTERO UNIVERSITA' E RICERCA,Unknown,14,2561,289,202410,2025-06-18,Funzionario,MINISTERO UNIVERSITA' E RICERCA
3,2023,12,MINISTERO DELL'INTERNO,VT,11,3,0,202303,2025-06-18,Impiegato,MINISTERO DELL'INTERNO
11,2023,9,MINISTERO DELLA GIUSTIZIA,PR,7,1,3,202311,2025-06-18,Operatore,MINISTERO DELLA GIUSTIZIA
12,2023,3,MINISTERO DELLA DIFESA,RM,11,180,393,202312,2025-06-18,Dirigente,MINISTERO DELLA DIFESA
4,2023,1,MINISTERO DELL'ECONOMIA E FINANZE,AR,8,0,1,202304,2025-06-18,Operatore,MINISTERO DELL'ECONOMIA E FINANZE
1,2024,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,OR,19,0,4,202401,2025-06-18,Dirigente,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
9,2024,12,MINISTERO DELL'INTERNO,GR,8,2,3,202409,2025-06-18,Impiegato,MINISTERO DELL'INTERNO
