id,rata,ente,descrizione,cod_tipoimposta,tipo_imposta,cod_imposta,imposta,spesa,aggregation_time,area_geografica
661738e49b1c14196e7da2c2,202403,17,CONSIGLIO DI STATO E T.A.R.,1,Netto,15,Netto,8206076.59,2024-11-04,Centro
65ee5ac7eb0f334c8d2b5b64,,905,,3,Previdenziali,13,Previdenziali a carico del datore di lavoro,2347339.84,2024-11-03,Sud
65c81f2bf458af1d35de628f,202401,912,ORDINE DEI MEDICI CHIRURGHI E DEGLI ODONTOIATRI DELLA PROVINCIA DI LATINA,1,Netto,15,Netto,6820.59,2024-11-02,
671a780d568f1404768e2bcd,202409,950,AGENZIA ITALIANA PER LA COOPERAZIONE ALLO SVILUPPO,4,Varie,11,Prestiti,8506.64,2024-10-24,
671a780d568f1404768e2c30,202409,945,ENTE PARCO NAZIONALE DEL GRAN SASSO E MONTI DELLA LAGA,4,Netto,12,Altre voci,13.9,2024-10-24,Centro
66e0ee67f458af54a5dbc8be,202408,905,AZIENDA REGIONALE EMERGENZA SANITARIA,3,Previdenziali,13,Previdenziali a carico del datore di lavoro,1814893.85,2024-11-09,
6667a4b7262bc331bdcd0b5d,202405,974,AGENZIA INDUSTRIE DIFESA AID,2,Erariali,8,,11401.77,2024-11-06,Nord
65ee5ac7eb0f334c8d2b5b26,,22,AGENZIA DELLE ENTRATE,4,Varie,12,Altre voci,389616.65,2024-11-03,Sud
663ec5f43f62190222cfb75d,202404,921,A.O. S. GIOVANNI ADDOLORATA,3,Previdenziali,13,Previdenziali a carico del datore di lavoro,2161682.07,2024-11-05,Centro
663ec5f43f62190222cfb6d1,202404,974,,1,Netto,15,Netto,872169.39,2024-11-05,Centro
661738e4262bc367a23503f2,202403,963,AUTORITA' DI BACINO DISTRETTUALE DELL'APPENNINO MERIDIONALE,1,Netto,15,Netto,271651.76,2024-04-11,Isole
659f41729b1c1468e2e39979,202312,14,MINISTERO PER I BENI E LE ATTIVITA' CULTURALI,3,Previdenziali,,Previdenziali a carico del lavoratore,6188050.16,2024-11-01,Isole
6731590b5c833340b426aed0,202410,912,ORDINE DEI MEDICI CHIRURGHI E DEGLI ODONTOIATRI DELLA PROVINCIA DI LATINA,2,Erariali,5,IRPEF,2211.42,2024-11-11,Nord
6731590c568f146444a34e52,202410,919,AUTORITA' UFFICIO PARLAMENTARE DI BILANCIO (UPB),3,Previdenziali,13,Previdenziali a carico del datore di lavoro,65308.15,2024-11-11,Sud
